PROVEEDOR,NUMERODELICITACION,TIPODECOMPRA,NUMERO DE CONTRATO,CODIGOSSA,CLAVEARTICULO,NOMBREMEDICAMENTO,UNIDADDEMEDIDA,MARCA,LABORATORIO,PRECIOUNITARIOCONDESCUENTO,SURTIDO
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2393,SUBROGADA,HGMGG-LPN-01-2393,FCB,02-01-0844,"TAPENTADOL, 50 MG",TABLETA DE LIBERACIÓN RÁPIDA,,PALEXIA RETARD,$23.14,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2395,SUBROGADA,HGMGG-LPN-01-2395,010.000.5191.00,02-01-0704,"TERLIPRESINA, 1 MG",FRASCO ÁMPULA,FRASCO ÁMPULA,"LABORATORIOS PISA, S.A. DE C.V.",$974.47,639
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2396,SUBROGADA,HGMGG-LPN-01-2396,010.000.4407.00,02-01-0242,"TETRACAINA, 5 MG",FRASCO GOTERO,FRASCO GOTERO,PONTI OFTENO,$64.69,268
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2397,SUBROGADA,HGMGG-LPN-01-2397,010.000.5395.00  (3),02-01-0282,"TIAMINA/RIBOFLAVINA, 10 ML",FRASCO ÁMPULA,,DEXTREVIT,$634.43,123
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2398,SUBROGADA,HGMGG-LPN-01-2398,010.000.4590.00,02-01-0726,"TIGECICLINA, 50 MG",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$769.72,407
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2399,SUBROGADA,HGMGG-LPN-01-2399,FCB,02-01-0481,"TIMOLOL, 5 MG/ ML, 5 ML",FRASCO GOTERO,,ZINHYPOC,$20.24,5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2400,SUBROGADA,HGMGG-LPN-01-2400,FCB,02-02-0061,"TIOPENTAL SODICO, 1 G",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$61.77,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2401,SUBROGADA,HGMGG-LPN-01-2401,FCB,02-02-0083,"TIOPENTAL, 500 MG/20 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$61.74,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2402,SUBROGADA,HGMGG-LPN-01-2402,010.000.5337.00  (14),02-01-0746,"TOBRAMICINA, 3 MG/ML",FRASCO GOTERO,,TRAZIL OFTENO,$129.38,67
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2403,SUBROGADA,HGMGG-LPN-01-2403,010.000.5365.00/010.000.5365.01  (60 Y 100),02-01-0764,"TOPIRAMATO, 25 MG  ",TABLETA,,NABIAN-K,$2.62,25
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2404,SUBROGADA,HGMGG-LPN-01-2404,010.000.4362.00,02-01-0624,"TOXINA BOTULINICA TIPO ""A"",  100 UI",FRASCO ÁMPULA,,BOTOX,"$6,715.10",15
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2405,SUBROGADA,HGMGG-LPN-01-2405,FCB,02-01-0619,"TRAMADOL RETARD, 100 MG",COMPRIMIDO LIB PROL,,TRADOL RETARD,$302.32,41
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2406,SUBROGADA,HGMGG-LPN-01-2406,040.000.2106.00  (5),02-01-0648,"TRAMADOL, 100 MG/2 ML",ÁMPULA,,VIDACAP,$22.99,9666
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2407,SUBROGADA,HGMGG-LPN-01-2407,FCB,02-01-0620,"TRAMADOL, 100 MG/ML",FRASCO GOTERO,,VIDACAP,$33.08,320
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2408,SUBROGADA,HGMGG-LPN-01-2408,010.000.4418.00,02-02-0845,"TRAVOPROST, 0.004%",FRASCO GOTERO,,ZAFESTROL,$253.00,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2409,SUBROGADA,HGMGG-LPN-01-2409,040.000.3206.00,02-02-0075,"TRIAZOLAM, 0.125 MG",TABLETA,,HALCION,$12.02,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2410,SUBROGADA,HGMGG-LPN-01-2410,010.000.5255.00  (6),02-01-0336,"TRIMETOPRIM/SULFAMETOXAZOL, 0.800 G/3 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$11.50,1010
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2411,SUBROGADA,HGMGG-LPN-01-2411,010.000.1904.00,02-01-0529,"TRIMETOPRIM/SULFAMETOXAZOL, 40 MG/5 ML",FRASCO,,SOLTRIM,$22.57,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2412,SUBROGADA,HGMGG-LPN-01-2412,010.000.1903.00  (20),02-01-0277,"TRIMETOPRIMA/SULFAMETOXAZOL, 80 MG",CÁPSULA/TABLETA,,SOLTRIM,$0.50,574
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2413,SUBROGADA,HGMGG-LPN-01-2413,FCB,02-01-0681,TROPICAMIDA/FENILEFRINA 5MG/50MG/5 ML,FRASCO,,FOTORRETIN,$197.91,210
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2414,SUBROGADA,HGMGG-LPN-01-2414,010.000.2871.00,02-01-0279,"VANCOMICINA, 500 MG/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$36.52,3373
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2415,SUBROGADA,HGMGG-LPN-01-2415,010.000.4154.00,02-01-0736,"VASOPRESINA, 20 UI",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$339.86,972
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2416,SUBROGADA,HGMGG-LPN-01-2416,010.000.0254.00,02-01-0324,"VECURONIO, BROMURO DE,  4MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$29.85,245
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2417,SUBROGADA,HGMGG-LPN-01-2417,010.000.0598.00,02-01-0280,"VERAPAMILO, 5 MG/2 ML",ÁMPULA,,VERAKEN,$22.71,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2418,SUBROGADA,HGMGG-LPN-01-2418,010.000.0596.00 (20) ,02-01-0714,"VERAPAMILO, 80 MG",TABLETA,,VEPITALTAX,$0.73,13
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2419,SUBROGADA,HGMGG-LPN-01-2419,010.000.5383.00,02-01-0284,VITAMINA A + C + D/15 ML,FRASCO,,"LABORATORIOS PISA, S.A. DE C.V.",$26.06,47
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2420,SUBROGADA,HGMGG-LPN-01-2420,010.000.5318.00,02-01-0708,"VORICONAZOL, 200 MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$575.00,30
